subject_id,session_id,run_id,dvars_nstd,dvars_std,dvars_vstd,efc,fber,fd_mean,fd_num,fd_perc,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,gcor,gsr_x,gsr_y,m_tsnr,outlier,qc_type,quality,size_t,size_x,size_y,size_z,snr,spacing_tr,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_fg,summary_p05_bg,summary_p05_fg,summary_p95_bg,summary_p95_fg,summary_stdv_bg,summary_stdv_fg
sub-2,0,task-objectviewing_run-01,8.27084304092,0.96434428225,0.91702788875,0.503987953138,69.3095474243,0.118511288182,0,0.0,9.63059,9.696,10.7382,8.57893,0.0209314606406,0.0559493601322,0.00697212480009,111.397567749,0.0029567768595,func,0.00347737041322,121,40,64,64,5.23931358564,2.5,3.5,3.75,3.75,73.0731811523,913.334472656,5.77685928345,520.073144531,268.157012939,1132.74953003,86.9899139404,181.775512695
sub-2,0,task-objectviewing_run-02,9.61300928942,1.03337151883,0.985184876917,0.501871442453,66.8877487183,0.0777324241677,0,0.0,8.50793,8.84369,9.34191,7.45424,0.0145666293861,0.0509326718748,0.0051088440232,111.793647766,0.00227371900826,func,0.00314742975207,121,40,64,64,5.26612005822,2.5,3.5,3.75,3.75,73.0471572876,919.030334473,5.36363601685,528.976025391,275.535516357,1150.12390137,90.3053894043,182.552062988
sub-2,0,task-objectviewing_run-03,10.7878747621,1.01880688392,0.955571435167,0.502000647463,67.5219345093,0.113103337783,0,0.0,8.63453,8.83654,9.60899,7.58152,0.0200153697621,0.0498552918434,0.00621906574816,95.2281036377,0.00235462809917,func,0.00455442107438,121,40,64,64,5.25472826202,2.5,3.5,3.75,3.75,72.7576904297,919.990478516,4.85950374603,527.835931396,273.614456177,1149.92636719,89.744644165,182.501815796
sub-2,0,task-objectviewing_run-04,10.001239617,0.969088128917,0.940491040333,0.500181227924,69.9022674561,0.0733698279942,0,0.0,8.6054,8.66868,9.65811,7.61146,0.00837921702172,0.0505133979023,0.00626238202676,97.9524993896,0.00140826446281,func,0.00454023041322,121,40,64,64,5.25567732217,2.5,3.5,3.75,3.75,71.7582473755,922.319519043,5.07437992096,527.187188721,268.011547852,1151.71690674,88.3332061768,183.032852173
sub-2,0,task-objectviewing_run-05,11.2382328987,1.09724632042,1.02959716775,0.49970836371,66.2615432739,0.0815316956083,0,0.0,8.09715,8.12235,9.1103,7.17434,0.0236490028949,0.0494825728238,0.00625416543335,100.937866211,0.00604041322314,func,0.00379603710744,121,40,64,64,5.30624290347,2.5,3.5,3.75,3.75,72.563949585,927.039611816,4.55371904373,537.621871948,277.909088135,1159.61773682,92.1387863159,182.153594971
sub-2,0,task-objectviewing_run-06,11.6753055892,1.0483777885,0.987662520083,0.499058420312,68.1346206665,0.0733016770733,0,0.0,8.00341,8.06678,8.95247,7.09874,0.0192805282341,0.049392670393,0.00596687057987,105.61895752,0.00223537190083,func,0.00342225247934,121,40,64,64,5.28597461793,2.5,3.5,3.75,3.75,71.3193740845,926.040893555,4.30867760181,536.640484619,271.669403076,1159.44050293,90.36693573,182.923782349
sub-2,0,task-objectviewing_run-07,11.7264207523,1.07557368708,0.994917497,0.499057666783,66.3695831299,0.0829343201952,0,0.0,7.86452,7.98124,8.73451,6.97763,0.0125885157546,0.0494962520897,0.00647910544649,111.542053223,0.00117983471074,func,0.00300053826446,121,40,64,64,5.30841609411,2.5,3.5,3.75,3.75,72.6482620239,925.0234375,5.20661115646,537.130157471,277.678500366,1159.19830322,92.1842041016,182.712341309
sub-2,0,task-objectviewing_run-08,11.8013305661,1.06361257458,0.993077788083,0.500276473919,69.131652832,0.114203708667,0,0.0,8.22037,8.35914,9.07102,7.32582,0.0177388900568,0.049676194787,0.00585732003674,106.439498901,0.0028052892562,func,0.00343631181818,121,40,64,64,5.29440265166,2.5,3.5,3.75,3.75,72.0079193115,922.77545166,6.04958629608,532.755349731,270.85949707,1153.47765503,89.0347671509,182.184509277
sub-2,0,task-objectviewing_run-09,11.7910487414,1.0736421505,0.997752094833,0.500784904676,68.7196655273,0.109059527953,0,0.0,8.32097,8.43216,9.2391,7.39526,0.0238007218385,0.0508019924164,0.00562420301139,102.629653931,0.00370289256198,func,0.00371961719008,121,40,64,64,5.26565198036,2.5,3.5,3.75,3.75,71.6641616821,920.999084473,5.04132223129,530.513204956,269.181793213,1151.2644043,89.025428772,182.652191162
sub-2,0,task-objectviewing_run-10,11.1303416409,1.08325512167,1.0015855585,0.502501442465,66.5528793335,0.130439974871,0,0.0,8.45402,8.57484,9.36295,7.52577,0.0257846836216,0.050660610199,0.00648050382733,121.142074585,0.00165371900826,func,0.0025011468595,121,40,64,64,5.29128870752,2.5,3.5,3.75,3.75,73.9383468628,920.470214844,6.7190079689,531.303710938,275.916925049,1149.84085083,90.6624526978,181.598190308
